Buy,Sell
9.0,
10.0,
100.0,100.0
170.0,170.0
179.0,170.0
100.0,100.0
,
,
,
,
,
,
,1.0
30.0,1.0
30.0,31.0
30.0,31.0
30.0,31.0
,1.0
,1.0
75.0,
75.0,
75.0,
50.0,
115.0,
115.0,
108.0,
,
3.0,
3.0,
3.0,
4.0,
54.0,50.0
,23.0
50.0,19.0
50.0,
50.0,
50.0,
50.0,
127.1,
77.1,
77.1,
77.1,
102.1,25.0
50.0,25.0
55.0,25.0
55.0,
25.0,25.0
28.5,25.0
55.0,25.0
6.0,30.0
7.0,30.0
7.0,30.0
6.0,
,
,
,81.0
,
50.0,50.0
50.0,50.0
20.0,
,
,
,20.0
375.0,375.0
,
50.0,50.0
50.0,50.0
15.0,110.0
,50.0
10.0,152.0
10.0,152.0
10.0,2.0
,2.0
20.0,10.0
,
,
,
1.0,1.0
,
,
50.0,50.0
,
,
,
,
,21.0
31.0,
50.0,50.0
50.0,50.0
,
,
12.0,12.0
10.5,10.5
13.0,5.0
,4.0
28.0,10.0
43.0,25.0
,
2.0,2.0
2.0,2.0
16.0,2.0
11.0,7.0
5.0,4.0
2.0,2.0
60.0,50.0
,
,
,
,
,40.0
,
,
,
,
,
8.0,55.0
2.0,7.0
94.0,4.0
144.0,154.0
145.0,152.0
147.0,157.0
253.0,157.0
155.0,2.0
154.0,
150.0,
152.0,2.0
102.0,102.0
2.0,2.0
50.0,50.0
,52.0
,52.0
,52.0
,52.0
,102.0
,
,
,100.0
,152.0
,122.0
,149.0
80.0,202.0
55.0,157.0
80.0,85.0
50.0,50.0
,52.0
50.0,102.0
,
,
,
50.0,525.0
,232.0
,152.0
,
36.0,36.0
,43.0
,20.0
,30.0
,64.0
,87.0
,35.0
,
,
,
,50.0
,50.0
,90.0
,100.0
,150.0
,150.0
,200.0
111.8,132.8
,490.0
,455.0
,290.0
,440.0
,200.0
,80.0
50.0,350.0
50.0,350.0
50.0,445.0
50.0,445.0
,375.0
30.0,370.0
30.0,300.0
,300.0
,300.0
,300.0
53.0,404.0
50.0,411.0
,350.0
112.0,365.0
150.0,360.0
100.0,295.0
50.0,364.0
,416.0
,407.0
,326.0
,200.0
,200.0
,200.0
,
,
,
,
,
0.1,10.0
,
200.0,210.0
200.0,205.0
5.0,5.0
,
,
,
205.0,
200.0,
215.0,5.0
6.0,
6.0,
13.0,13.0
102.0,102.0
13.0,13.0
11.0,11.0
200.0,
,
,
,
,
,
,
,
20.0,20.0
,147.0
,
,
,
,
,49.0
5.0,5.0
5.0,5.0
10.0,10.0
20.0,
181.0,
,0.1
,
3.0,8.0
5.0,5.0
,
7.0,7.0
,
,
,
,
,
,
,
31.0,31.0
197.0,197.0
199.0,199.0
27.0,202.0
38.0,335.0
,182.0
,255.0
,255.0
,
,
54.0,53.0
5.0,5.0
,
4.0,4.0
5.0,207.0
,195.0
5.0,215.0
,
,
,
,
,
,
,
20.0,20.0
,
20.0,20.0
35.0,55.0
50.0,45.0
51.0,41.0
123.0,
96.0,
81.0,
88.0,
104.0,16.0
15.0,15.0
5.0,5.0
,
7.0,427.0
25.0,15.0
55.0,54.0
,
,
,
,
,
,
,
,
9.0,98.0
,170.0
69.0,119.0
84.0,249.0
130.0,130.0
79.0,94.0
10.0,82.0
65.0,335.0
64.0,324.0
69.0,340.6
60.0,405.3
160.0,480.0
100.0,242.0
149.0,435.0
46.2,125.0
375.3,100.0
125.0,125.0
,
,
,
,
,
,5.0
,
,
,
,
,50.0
,
,
,
,
,50.0
,
,
48.0,50.0
,
,10.4
,15.0
,
,
,
,
,
,
,
,
,
,
,
,
,
45.0,
13.0,13.0
11.0,11.0
,
,
,
108.0,
100.0,
100.0,
,
,
,
,
,
,
,
,
,
,
,100.0
25.0,25.0
178.0,203.0
150.0,175.0
135.0,25.0
25.0,25.0
25.0,25.0
25.0,25.0
,25.0
,
11.0,
55.0,55.0
5.0,75.0
16.0,84.0
54.0,10.0
10.0,10.0
9.0,35.0
,
,
,
,
,
,
,0.3
,
260.0,260.0
360.0,690.0
4.0,4.0
4.0,4.0
106.5,3.0
113.5,24.5
113.5,28.0
113.5,33.0
78.0,124.0
74.0,125.0
9.0,74.0
4.0,56.0
105.5,60.0
,
101.5,
51.7,1.0
,
,
,
,
,
,
,
,
20.0,20.0
279.0,290.0
456.5,446.5
475.0,444.0
464.0,444.0
454.0,403.0
